#pdf2djvu,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,DjVu tools,,
djvulibre,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,DjVu tools,Convert DjVu to images,
#scantailor,,Documents,Documents and texts,Readers and viewers,PDF and DjVu,DjVu tools,Processing images,
img2djvu-git,AUR,Documents,Documents and texts,Readers and viewers,PDF and DjVu,DjVu tools,Make DjVu from images,
calibre,,Documents,Documents and texts,Readers and viewers,E-book,,,
nmap,,Security,Network security,,,,,
sshguard,,Security,Network security,,,,,
keepass,,Security,Password managers,Graphical,,,,
geogebra,,Science,Mathematics,Scientific or technical computing,,,,
julia,,Science,Mathematics,Scientific or technical computing,,,,
python-matplotlib,,Science,Mathematics,Scientific or technical computing,,,,
octave,,Science,Mathematics,Scientific or technical computing,,,,
gsl,,Science,Mathematics,Scientific or technical computing,,,,
#jags,AUR,Science,Mathematics,Statistics,,,,
#jamovi-git,AUR,Science,Mathematics,Statistics,,,,
#pspp,AUR,Science,Mathematics,Statistics,,,,
r,,Science,Mathematics,Statistics,,,,
python-pandas,,Science,Mathematics,Statistics,,,,
gnuplot,,Science,Mathematics,Data analysis and plotting,,,,
mathjax,,Science,Mathematics,Display engine,,,,
xorg,,Other,Desktop environments,Window managers,Composite managers,,,
xorg-drivers,,Other,Desktop environments,Window managers,Composite managers,,,
#dwm,AUR,Other,Desktop environments,Window managers,Graphical,Dynamic window managers,,
#dmenu,,Other,Desktop environments,Application launchers,,,,
